3.026378919541129475e-01,3.005478676012812156e-01,3.342075535263266950e-01,0.000000000000000000e+00,3.044553018103522413e-01
2.989389279072257599e-01,3.009687494541640196e-01,3.340126888461326660e-01,0.000000000000000000e+00,3.124203658332989630e-01
3.074685230350906462e-01,3.296193548838480258e-01,3.443082464842506241e-01,0.000000000000000000e+00,3.411824893630392430e-01
3.355106752102481327e-01,3.329634675136340927e-01,3.699196700237284974e-01,0.000000000000000000e+00,3.435310044216253744e-01
3.382602169491648603e-01,3.474800800850807447e-01,3.718004836801783730e-01,0.000000000000000000e+00,3.574369537450404199e-01
3.510507897732252358e-01,3.605579822707012938e-01,3.873036772455665799e-01,0.000000000000000000e+00,3.720614373759458249e-01
3.665377962347230456e-01,3.625093435886125870e-01,3.934480246256990554e-01,0.000000000000000000e+00,3.730889175328749308e-01
3.663099348808100952e-01,3.666340157442620762e-01,4.012708572485038649e-01,0.000000000000000000e+00,3.733438447951037964e-01
3.670846782191482527e-01,3.720748402450410608e-01,4.031216691057315504e-01,0.000000000000000000e+00,3.826221730752255579e-01
3.752497100676942532e-01,3.781049144916026061e-01,4.111767586589539780e-01,0.000000000000000000e+00,3.858360377460054447e-01
3.790549650560638417e-01,3.832320206994482281e-01,4.119110685653185611e-01,0.000000000000000000e+00,3.931907548201348246e-01
3.862705745966393822e-01,4.095639647383126358e-01,4.168265170964469135e-01,0.000000000000000000e+00,4.151080158002034559e-01
4.079401744668155194e-01,4.052403602496070234e-01,4.305988324191900585e-01,0.000000000000000000e+00,4.147758331094451578e-01
4.074084979743520796e-01,4.076049061800278150e-01,4.363610605878202042e-01,0.000000000000000000e+00,4.112530228982473335e-01
4.040817370941653941e-01,4.077196921399049434e-01,4.154178277494419147e-01,0.000000000000000000e+00,3.956860851834243520e-01
3.853059466447996684e-01,4.229327177109878932e-01,4.118511382494562945e-01,0.000000000000000000e+00,4.331007992487791447e-01
4.256374062873851116e-01,4.391558000402904782e-01,4.608859836759331419e-01,0.000000000000000000e+00,4.507459339642693741e-01
4.424611695846217829e-01,4.511011624204886439e-01,4.752877491729274873e-01,0.000000000000000000e+00,4.636320986831107827e-01
4.555859688349711556e-01,4.536340760907611735e-01,4.720432487184439418e-01,0.000000000000000000e+00,4.487063646006115847e-01
