Date,Open,High,Low,Volume,Close,Adj Close
2016-04-01,7718.049805,7740.149902,7666.100098,183900,7713.049805,7713.049805
2016-03-31,7727.649902,7777.600098,7702,380100,7738.399902,7738.399902
2016-03-30,7651.100098,7741.950195,7643.450195,232600,7735.200195,7735.200195
2016-03-29,7606.549805,7652.899902,7582.25,216800,7597,7597
2016-03-28,7741,7749.399902,7587.700195,242400,7615.100098,7615.100098
2016-03-23,7717.450195,7726.850098,7670.600098,199600,7716.5,7716.5
2016-03-22,7695.549805,7728.200195,7643.799805,208900,7714.899902,7714.899902
2016-03-21,7619.200195,7713.549805,7617.700195,196800,7704.25,7704.25
2016-03-18,7534.649902,7613.600098,7517.899902,237400,7604.350098,7604.350098
2016-03-17,7557.399902,7585.299805,7479.399902,239600,7512.549805,7512.549805
2016-03-16,7457.049805,7508,7405.149902,195400,7498.75,7498.75
2016-03-15,7535.850098,7545.200195,7452.799805,193700,7460.600098,7460.600098
2016-03-14,7542.600098,7583.700195,7515.049805,166900,7538.75,7538.75
2016-03-11,7484.850098,7543.950195,7460.600098,198700,7510.200195,7510.200195
2016-03-10,7545.350098,7547.100098,7447.399902,224700,7486.149902,7486.149902
2016-03-09,7436.100098,7539,7424.299805,245100,7531.799805,7531.799805
2016-03-08,7486.399902,7527.149902,7442.149902,257000,7485.299805,7485.299805
2016-03-04,7505.399902,7505.899902,7444.100098,281700,7485.350098,7485.350098
2016-03-03,7429.549805,7483.950195,7406.049805,278600,7475.600098,7475.600098
2016-03-02,7321.700195,7380.350098,7308.149902,338500,7368.850098,7368.850098
2016-03-01,7038.25,7235.5,7035.100098,275100,7222.299805,7222.299805
2016-02-29,7050.450195,7094.600098,6825.799805,473400,6987.049805,6987.049805
2016-02-26,7039.299805,7052.899902,6985.100098,206700,7029.75,7029.75
2016-02-25,7029.850098,7034.200195,6961.399902,283100,6970.600098,6970.600098
2016-02-24,7075,7090.799805,7009.75,199700,7018.700195,7018.700195
2016-02-23,7240.299805,7241.700195,7090.700195,194400,7109.549805,7109.549805
2016-02-22,7208.850098,7252.399902,7200.700195,154400,7234.549805,7234.549805
2016-02-19,7170.549805,7226.850098,7145.950195,192300,7210.75,7210.75
2016-02-18,7177.399902,7215.100098,7127.850098,246700,7191.75,7191.75
2016-02-17,7058.850098,7123.700195,6960.649902,260000,7108.450195,7108.450195
2016-02-16,7201.25,7204.649902,7037.700195,253800,7048.25,7048.25
2016-02-15,7057.350098,7182.799805,7056.799805,354200,7162.950195,7162.950195
2016-02-12,7023.649902,7034.799805,6869,333900,6980.950195,6980.950195
2016-02-11,7203.600098,7208.649902,6959.950195,292300,6976.350098,6976.350098
2016-02-10,7264.299805,7271.850098,7177.75,246900,7215.700195,7215.700195
2016-02-09,7303.950195,7323.450195,7275.149902,212100,7298.200195,7298.200195
2016-02-08,7489.700195,7512.549805,7363.200195,171500,7387.25,7387.25
2016-02-05,7418.25,7503.149902,7406.649902,249800,7489.100098,7489.100098
2016-02-04,7411.450195,7457.049805,7365.950195,222700,7404,7404
2016-02-03,7392.450195,7419.399902,7350.299805,192000,7361.799805,7361.799805
2016-02-02,7566.649902,7576.299805,7428.049805,230200,7455.549805,7455.549805
2016-02-01,7589.5,7600.450195,7541.25,200400,7555.950195,7555.950195
2016-01-29,7413.350098,7575.649902,7402.799805,298700,7563.549805,7563.549805
2016-01-28,7426.5,7468.850098,7409.600098,274500,7424.649902,7424.649902
2016-01-27,7469.600098,7477.899902,7419.700195,187600,7437.75,7437.75
2016-01-25,7468.75,7487.149902,7421.200195,163156900,7436.149902,7436.149902
2016-01-22,7355.700195,7433.399902,7327.600098,229200,7422.450195,7422.450195
2016-01-21,7376.649902,7398.700195,7250,240700,7276.799805,7276.799805
2016-01-20,7357,7470.899902,7241.5,225600,7309.299805,7309.299805
2016-01-19,7381.799805,7462.75,7364.149902,188300,7435.100098,7435.100098
2016-01-18,7420.350098,7463.649902,7336.399902,233600,7351,7351
2016-01-15,7561.649902,7566.5,7427.299805,197500,7437.799805,7437.799805
2016-01-14,7467.399902,7604.799805,7443.799805,200800,7536.799805,7536.799805
2016-01-13,7557.899902,7590.950195,7425.799805,215200,7562.399902,7562.399902
2016-01-12,7587.200195,7588.299805,7487.799805,163900,7510.299805,7510.299805
2016-01-11,7527.450195,7605.100098,7494.350098,189000,7563.850098,7563.850098
2016-01-08,7611.649902,7634.100098,7581.049805,157400,7601.350098,7601.350098
2016-01-07,7673.350098,7674.950195,7556.600098,188900,7568.299805,7568.299805
2016-01-06,7788.049805,7800.950195,7721.200195,147100,7741,7741
2016-01-05,7828.399902,7831.200195,7763.25,145200,7784.649902,7784.649902
2016-01-04,7924.549805,7937.549805,7781.100098,134700,7791.299805,7791.299805
2015-12-31,7897.799805,7955.549805,7891.149902,150900,7946.350098,7946.350098
2015-12-30,7938.600098,7944.75,7889.850098,106800,7896.25,7896.25
2015-12-29,7929.200195,7942.149902,7902.75,113000,7928.950195,7928.950195
2015-12-28,7863.200195,7937.200195,7863,122900,7925.149902,7925.149902
2015-12-24,7888.75,7888.75,7835.5,93500,7861.049805,7861.049805
2015-12-23,7830.450195,7871.450195,7826.100098,117900,7865.950195,7865.950195
2015-12-22,7829.399902,7846.299805,7776.850098,125700,7786.100098,7786.100098
2015-12-21,7745.649902,7840.75,7733.450195,126300,7834.450195,7834.450195
2015-12-18,7828.899902,7836.149902,7753.350098,191400,7761.950195,7761.950195
2015-12-17,7783.049805,7852.899902,7737.549805,175900,7844.350098,7844.350098
2015-12-16,7725.25,7776.600098,7715.75,154300,7750.899902,7750.899902
2015-12-15,7659.149902,7705,7625.100098,134300,7700.899902,7700.899902
2015-12-14,7558.200195,7663.950195,7551.049805,148900,7650.049805,7650.049805
2015-12-11,7699.600098,7703.049805,7575.299805,167800,7610.450195,7610.450195
2015-12-10,7643.299805,7691.950195,7610,140800,7683.299805,7683.299805
2015-12-09,7695.5,7702.850098,7606.899902,140000,7612.5,7612.5
2015-12-08,7738.5,7771.25,7685.450195,135100,7701.700195,7701.700195
2015-12-07,7816.549805,7825.399902,7746.049805,137600,7765.399902,7765.399902
2015-12-04,7817.600098,7821.399902,7775.700195,152500,7781.899902,7781.899902
2015-12-03,7902.299805,7912.299805,7853.299805,125700,7864.149902,7864.149902
2015-12-02,7976.700195,7979.299805,7910.799805,126300,7931.350098,7931.350098
2015-12-01,7958.149902,7972.149902,7934.149902,138600,7954.899902,7954.899902
2015-11-30,7936.25,7966,7922.799805,216300,7935.25,7935.25
2015-11-27,7910.600098,7959.299805,7879.450195,150300,7942.700195,7942.700195
2015-11-26,7837.149902,7897.100098,7832,219800,7883.799805,7883.799805
2015-11-24,7837,7870.350098,7812.649902,130600,7831.600098,7831.600098
2015-11-23,7869.5,7877.5,7825.200195,127000,7849.25,7849.25
2015-11-20,7841.899902,7906.950195,7817.799805,151900,7856.549805,7856.549805
2015-11-19,7788.5,7854.899902,7765.450195,132600,7842.75,7842.75
2015-11-18,7823.149902,7843.399902,7725.049805,143600,7731.799805,7731.799805
2015-11-17,7848.75,7860.450195,7793,145000,7837.549805,7837.549805
2015-11-16,7732.950195,7838.850098,7714.149902,149500,7806.600098,7806.600098
2015-11-13,7762.450195,7775.100098,7730.899902,160900,7762.25,7762.25
2015-11-11,7838.799805,7847.950195,7819.100098,21700,7825,7825
